Diện tích,Mức giá,Mặt tiền,Số tầng,Đường vào,Số phòng ngủ,Số toilet
30.0,4.25,3.0,5.0,1.0,3.0,4.0
30.0,3.98,3.0,5.0,2.0,3.0,4.0
30.0,4.95,3.0,5.0,1.0,6.0,4.0
55.0,26.5,55.0,8.0,25.0,8.0,8.0
50.0,12.6,4.0,5.0,12.0,4.0,4.0
51.0,8.3,9.0,4.0,4.0,4.0,4.0
42.0,5.5,4.0,5.0,3.0,4.0,4.0
40.0,5.5,4.0,4.0,3.0,4.0,5.0
65.0,39.0,6.0,6.0,40.0,5.0,6.0
95.0,22.0,7.0,6.0,3.0,6.0,6.0
105.0,22.0,5.0,6.0,25.0,8.0,5.0
60.0,9.3,5.0,3.0,2.0,4.0,2.0
125.0,80.0,7.0,7.0,50.0,12.0,12.0
48.0,12.0,6.0,7.0,3.0,6.0,6.0
36.0,7.2,4.0,4.0,2.0,3.0,3.0
73.0,23.0,6.0,5.0,4.0,4.0,4.0
78.0,8.5,4.0,4.0,3.0,4.0,3.0
267.0,180.0,11.0,9.0,50.0,10.0,10.0
307.0,161.0,10.0,11.0,30.0,30.0,30.0
295.0,79.0,12.0,7.0,5.0,20.0,20.0
40.0,12.8,3.0,7.0,13.0,6.0,6.0
177.0,34.67,10.0,4.0,13.0,5.0,4.0
236.0,67.3,11.0,4.0,23.0,5.0,4.0
156.0,56.0,30.0,5.0,20.0,6.0,6.0
226.0,48.0,10.0,4.0,15.0,5.0,6.0
124.0,78.0,5.0,7.0,15.0,8.0,8.0
126.0,68.5,7.0,1.0,20.0,2.0,2.0
170.0,27.73,8.0,4.0,11.0,4.0,4.0
45.0,2.45,3.0,1.0,3.0,2.0,1.0
36.0,5.86,3.0,5.0,3.0,4.0,4.0
39.0,8.6,5.0,6.0,3.0,9.0,9.0
40.0,8.3,4.0,6.0,3.0,9.0,9.0
63.0,10.9,6.0,6.0,3.0,12.0,12.0
46.0,13.8,4.0,1.0,10.0,2.0,1.0
150.0,57.5,6.0,7.0,35.0,9.0,9.0
32.0,6.6,4.0,5.0,2.0,3.0,4.0
52.0,17.8,68.0,4.0,8.0,6.0,4.0
176.0,33.5,10.0,7.0,5.0,30.0,33.0
55.0,13.4,5.0,6.0,5.0,10.0,11.0
40.0,5.95,3.0,5.0,3.0,3.0,4.0
62.0,12.5,5.0,5.0,400.0,5.0,4.0
62.0,12.5,5.0,5.0,400.0,5.0,4.0
46.0,2.4,5.0,3.0,3.0,2.0,2.0
40.0,5.19,4.0,4.0,2.0,4.0,3.0
80.0,18.4,4.0,1.0,10.0,1.0,1.0
500.0,140.0,5.0,4.0,20.0,4.0,4.0
110.0,20.0,6.0,4.0,10.0,5.0,3.0
110.0,18.6,6.0,2.0,6.0,3.0,3.0
40.0,8.58,5.0,4.0,3.0,3.0,4.0
83.0,29.5,52.0,1.0,20.0,1.0,1.0
56.0,3.15,3.0,3.0,3.0,3.0,3.0
52.0,18.9,4.0,6.0,9.0,6.0,6.0
30.0,7.8,3.0,5.0,6.0,3.0,4.0
43.0,22.0,3.0,6.0,8.0,3.0,4.0
41.0,9.5,4.0,4.0,4.0,4.0,3.0
85.0,12.8,8.0,5.0,4.0,5.0,4.0
96.0,39.5,5.0,1.0,15.0,1.0,1.0
43.0,12.0,4.0,4.0,4.0,4.0,5.0
79.0,30.8,5.0,2.0,25.0,2.0,2.0
44.0,6.49,4.0,4.0,2.0,3.0,3.0
45.0,9.9,4.0,5.0,5.0,6.0,5.0
31.0,3.58,3.0,4.0,4.0,2.0,3.0
35.0,2.52,4.0,5.0,4.0,4.0,4.0
107.0,43.0,4.0,8.0,60.0,8.0,8.0
31.0,3.98,3.0,5.0,2.0,3.0,3.0
176.0,19.5,12.0,5.0,2.0,5.0,5.0
20.0,2.5,2.0,3.0,6.0,2.0,1.0
115.0,26.0,7.0,3.0,25.0,4.0,3.0
33.0,3.68,4.0,5.0,2.0,4.0,4.0
42.0,6.1,3.0,4.0,2.0,3.0,4.0
34.0,5.65,3.0,5.0,1.0,3.0,4.0
626.0,350.0,18.0,2.0,68.0,2.0,2.0
41.0,6.2,4.0,5.0,4.0,3.0,4.0
119.0,27.5,55.0,3.0,15.0,4.0,5.0
40.0,6.8,4.0,5.0,3.0,3.0,4.0
107.0,41.9,5.0,9.0,12.0,5.0,12.0
34.0,8.5,3.0,5.0,3.0,3.0,4.0
57.0,5.0,4.0,1.0,4.0,1.0,1.0
35.0,7.5,6.0,4.0,6.0,4.0,4.0
65.0,13.0,8.0,4.0,10.0,4.0,4.0
50.0,11.8,5.0,6.0,5.0,6.0,4.0
50.0,12.99,4.0,6.0,5.0,4.0,5.0
45.0,8.5,5.0,4.0,3.0,3.0,3.0
60.0,13.79,5.0,4.0,5.0,4.0,4.0
60.0,13.5,5.0,5.0,5.0,4.0,4.0
165.0,23.8,10.0,4.0,4.0,5.0,5.0
42.0,6.5,3.0,5.0,3.0,4.0,4.0
104.0,6.2,6.0,2.0,6.0,2.0,2.0
160.0,45.0,5.0,5.0,5.0,4.0,5.0
85.0,16.2,7.0,6.0,3.0,21.0,21.0
375.0,0.145,15.0,4.0,20.0,6.0,5.0
46.0,3.6,5.0,3.0,3.0,3.0,3.0
57.0,12.5,6.0,5.0,6.0,4.0,4.0
35.0,9.3,3.0,4.0,11.0,4.0,3.0
